personName,finalWorth,category,age,country,organization
Nancy Walton Laurie,7900,Fashion & Retail,71,United States,
Jay Y. Lee,7900,Technology,54,South Korea,
Ramzi Musallam,7900,Finance & Investments,54,United States,
David Shaw,7900,Finance & Investments,72,United States,"D. E. Shaw & Co., L.P."
Andrei Skoch & family,7900,Metals & Mining,57,Russia,
Georg Stumpf,7900,Diversified,50,Austria,
Rocco Commisso,7800,Telecom,73,United States,
Li Shuirong & family,7800,Manufacturing,66,China,
Lin Shu-hong,7800,Manufacturing,94,Taiwan,
Qi Shi & family,7800,Technology,53,China,
Yao Liangsong,7800,Manufacturing,58,China,
Zhang Congyuan,7800,Fashion & Retail,75,Taiwan,
Jean-Michel Besnier,7700,Food & Beverage,55,France,
Marie Besnier Beauvalot,7700,Food & Beverage,42,France,
David Geffen,7700,Media & Entertainment,80,United States,DreamWorks Animation SKG Inc. (Cl A)
Robin Li,7700,Technology,54,China,Baidu
Liu Yonghao & family,7700,Service,71,China,
Henry Samueli,7700,Technology,68,United States,Broadcom
Reinhold Schmieding,7700,Healthcare,68,United States,
Ivar Tollefsen,7700,Real Estate,61,Norway,
Cao Renxian,7600,Energy,54,China,
Hasmukh Chudgar & family,7600,Healthcare,89,India,
Andrew Currie,7600,Manufacturing,67,United Kingdom,
Joe Gebbia,7600,Technology,41,United States,"Airbnb, Inc."
Philip Ng,7600,Real Estate,64,Singapore,
John Reece,7600,Manufacturing,66,United Kingdom,
Leonard Stern,7600,Real Estate,85,United States,"Hartz Mountain Industries, Inc."
Joseph Tsai,7600,Technology,59,Hong Kong,
Zhong Huijuan,7600,Healthcare,62,China,
Arthur Blank,7500,Sports,80,United States,Atlanta Falcons
Charles Butt,7500,Fashion & Retail,85,United States,
Ding Shijia,7500,Fashion & Retail,59,China,
"Paul Tudor Jones, II.",7500,Finance & Investments,68,United States,Tudor Investment Corporation
Henry Kravis,7500,Finance & Investments,79,United States,KKR & Co.
Zhang Yong,7500,Food & Beverage,52,Singapore,
James Goodnight,7400,Technology,80,United States,SAS Institute
Sri Prakash Lohia,7400,Manufacturing,70,United Kingdom,
Ma Jianrong,7400,Fashion & Retail,59,China,
Robert Ng,7400,Real Estate,71,Singapore,
Steven Rales,7400,Manufacturing,72,United States,Danaher
Nassef Sawiris,7400,Construction & Engineering,62,Egypt,
Harry Stine,7400,Food & Beverage,81,United States,
Benu Gopal Bangur,7300,Manufacturing,91,India,
Iskander Makhmudov,7300,Metals & Mining,59,Russia,
Anders Holch Povlsen,7300,Fashion & Retail,50,Denmark,
Enrique Razon Jr.,7300,Logistics,63,Philippines,
Wang Laichun,7300,Technology,55,China,
Arthur Dantchik,7200,Finance & Investments,65,United States,
Terry Gou,7200,Technology,72,Taiwan,Hon Hai Precision Industries
Jeff Greene,7200,Real Estate,68,United States,
Don Hankey,7200,Finance & Investments,79,United States,Hankey Group
Richard Kinder,7200,Energy,78,United States,Kinder Morgan Inc
Guillaume Pousaz,7200,Finance & Investments,41,United Arab Emirates,
Takahisa Takahara,7200,Fashion & Retail,61,Japan,
